"data","tipo","assunto","url_mai","url_cne","url_cne2","url_cne3","url_wikipedia"
"2002-03-17","Legislativas",,"http://www.eleicoes.mai.gov.pt/legislativas2002/D230000/230000_IS.html","http://eleicoes.cne.pt/raster/index.cfm?dia=17&mes=03&ano=2002&eleicao=ar",,,
"2005-02-20","Legislativas",,"http://www.eleicoes.mai.gov.pt/legislativas2005/","http://eleicoes.cne.pt/raster/index.cfm?dia=20&mes=02&ano=2005&eleicao=ar",,,
"2009-09-27","Legislativas",,"http://www.eleicoes.mai.gov.pt/legislativas2009/","http://eleicoes.cne.pt/raster/index.cfm?dia=27&mes=09&ano=2009&eleicao=ar",,,
"2011-06-05","Legislativas",,"http://www.eleicoes.mai.gov.pt/legislativas2011/","http://eleicoes.cne.pt/raster/index.cfm?dia=05&mes=06&ano=2011&eleicao=ar",,,
"1976-06-27","Presidenciais",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=27&mes=06&ano=1976&eleicao=pr",,,
"1980-12-07","Presidenciais",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=07&mes=12&ano=1980&eleicao=pr",,,
"1986-01-26","Presidenciais","Primeira volta",,"http://eleicoes.cne.pt/raster/index.cfm?dia=26&mes=01&ano=1986&eleicao=pr",,,
"1986-02-16","Presidenciais","Segunda volta",,"http://eleicoes.cne.pt/raster/index.cfm?dia=16&mes=02&ano=1986&eleicao=pr",,,
"1991-01-13","Presidenciais",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=13&mes=01&ano=1991&eleicao=pr",,,
"1996-01-14","Presidenciais",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=14&mes=01&ano=1996&eleicao=pr",,,
"2001-01-14","Presidenciais",,"http://www.eleicoes.mai.gov.pt/presidenciais2001/D230000/230000_PR.html","http://eleicoes.cne.pt/raster/index.cfm?dia=14&mes=01&ano=2001&eleicao=pr",,,
"2006-01-22","Presidenciais",,"http://www.eleicoes.mai.gov.pt/Presidenciais2006/","http://eleicoes.cne.pt/raster/index.cfm?dia=22&mes=01&ano=2006&eleicao=pr",,,
"2011-01-23","Presidenciais",,"http://www.eleicoes.mai.gov.pt/presidenciais2011/","http://eleicoes.cne.pt/raster/index.cfm?dia=23&mes=01&ano=2011&eleicao=pr",,,
"1998-06-28","Referendo","Aborto",,"http://eleicoes.cne.pt/raster/index.cfm?dia=28&mes=06&ano=1998&eleicao=re1",,,"http://pt.wikipedia.org/wiki/Aborto_em_Portugal#1998"
"1998-11-08","Referendo","Regionalização",,"http://eleicoes.cne.pt/raster/index.cfm?dia=08&mes=11&ano=1998&eleicao=re2a","http://eleicoes.cne.pt/raster/index.cfm?dia=08&mes=11&ano=1998&eleicao=re2b",,"http://pt.wikipedia.org/wiki/Regionalização#Referendo_de_8_de_Novembro_de_1998"
